# Volby do zastupitelstev obcí 2026
# Oblast: Česká republika (OBEC)
# Data zveřejněna: 2026-09-22T12:21:10
# Stav: konečné výsledky
# Exportováno: 2026-09-22T12:21:57

Volební strana;Kód strany;Hlasy;Podíl hlasů %;Mandáty;Podíl mandátů %
Sdružení nezávislých kandidátů - místní sdružení celkem;90;12927293;14,85;37712;63,67
Nezávislý kandidát;80;586989;0,67;5764;9,73
KDU-ČSL;1;2017667;2,32;2667;4,50
Sdružení STAN, NK;470;2289112;2,63;1773;2,99
Občanská demokratická strana;53;2994783;3,44;1409;2,38
ANO 2011;768;14297232;16,42;1240;2,09
STAROSTOVÉ A NEZÁVISLÍ;166;2798591;3,21;881;1,49
Sdružení SOCDEM, NK;371;1529011;1,76;515;0,87
Sociální demokracie;7;865783;0,99;492;0,83
Sdružení KDU-ČSL, NK;355;636216;0,73;488;0,82
Sdružení ODS, NK;389;675527;0,78;399;0,67
Komunistická strana Čech a Moravy;47;1456470;1,67;391;0,66
Svoboda a přímá demokracie (SPD);1114;2361692;2,71;316;0,53
Sdružení ANO 2011, NK;532;1169141;1,34;276;0,47
Sdružení TOP 09, NK;480;360739;0,41;272;0,46
Nestraníci;181;225444;0,26;209;0,35
Sdružení SLK, NK;475;184457;0,21;201;0,34
Koalice KDU-ČSL, ODS a TOP 09;1327;7860321;9,03;181;0,31
Sdružení NEZ, NK;401;448880;0,52;163;0,28
NEZÁVISLÍ;88;274799;0,32;162;0,27
SNK Evropští demokraté;129;173872;0,20;156;0,26
Sdružení KSČM, NK;387;491146;0,56;151;0,25
Sdružení SOM, NK;463;183698;0,21;143;0,24
MÍSTNÍ HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST;112;148284;0,17;117;0,20
Česká pirátská strana;720;5815968;6,68;96;0,16
TOP 09;721;131235;0,15;87;0,15
Koalice KDU-ČSL, ODS;210;259272;0,30;82;0,14
Sdružení SNK ED, NK;449;243741;0,28;82;0,14
Sdružení Piráti, NK;541;341939;0,39;78;0,13
Sdružení SproK, NK;1479;120451;0,14;78;0,13
Koalice TOP 09 a ODS;687;1964446;2,26;77;0,13
Sdružení Nestraníci, NK;457;240524;0,28;72;0,12
Sdružení SPD, NK;1305;178508;0,21;70;0,12
Sdružení Zelení, NK;364;410197;0,47;65;0,11
Sdružení SNK 1 - SNK, NK;1314;15121;0,02;63;0,11
JIHOČEŠI 2012;766;74501;0,09;59;0,10
Zdraví Sport Vzdělání 2012;785;119502;0,14;55;0,09
Sdružení Svobodní, NK;477;184161;0,21;54;0,09
PŘÍSAHA občanské hnutí;1245;355619;0,41;51;0,09
Moravané;83;28167;0,03;50;0,08
Svobodní;714;349099;0,40;47;0,08
Starostové pro Liberecký kraj;703;98197;0,11;47;0,08
Sdružení STO, NK;527;34445;0,04;47;0,08
Sdružení VOK, NK;1481;49339;0,06;45;0,08
Koalice SPD a Trikolora;1487;496414;0,57;44;0,07
Volba pro město;113;121071;0,14;42;0,07
Sdružení Soukromníci, NK;497;84003;0,10;40;0,07
Sdružení SD-SN, NK;427;83537;0,10;39;0,07
COEXISTENTIA;72;21615;0,02;31;0,05
Sdružení JsmePRO!, NK;1307;60371;0,07;30;0,05
Sdružení NV, NK;461;68456;0,08;29;0,05
Sdružení Trikolora, NK;1482;67484;0,08;27;0,05
Sdružení KDU-ČSL, ODS, TOP 09, NK;1508;33290;0,04;27;0,05
Koalice KDU-ČSL, STAN;340;1086129;1,25;26;0,04
Volba pro kraj;1118;43069;0,05;26;0,04
Sdružení KDU-ČSL, TOP 09, NK;540;174582;0,20;25;0,04
Sdružení VČ, NK;515;59067;0,07;25;0,04
Strana zelených;5;28771;0,03;25;0,04
Sdružení ODS, TOP 09, NK;523;105808;0,12;24;0,04
Sdružení LS, NK;1497;53611;0,06;24;0,04
Sdružení MZH, NK;1325;49120;0,06;24;0,04
SNK 1 – Starostové našeho kraje;1129;7351;0,01;24;0,04
Sdružení Zelení, Piráti, NK;529;194709;0,22;23;0,04
Koalice SOCDEM a ANO;1452;83585;0,10;23;0,04
VÝCHODOČEŠI;770;9239;0,01;23;0,04
Strana soukromníků České republiky;716;34402;0,04;22;0,04
ProMOST;1175;270604;0,31;21;0,04
Občané městu, město občanům;734;34135;0,04;20;0,03
Unie pro sport a zdraví;119;53848;0,06;19;0,03
Starostové pro občany;779;9688;0,01;19;0,03
Sdružení Změna, NK;510;74595;0,09;17;0,03
Sdružení VPM, NK;411;41106;0,05;17;0,03
NOVÝ SEVER;1017;47843;0,05;16;0,03
Sdružení JIH 12, NK;1349;31425;0,04;16;0,03
Sdružení LES, NK;543;17351;0,02;16;0,03
Koalice KDU-ČSL a TOP 09;1058;128262;0,15;15;0,03
PRO Právo Respekt Odbornost;1265;105153;0,12;15;0,03
Sdružení DSZ - ZA PRÁVA ZVÍŘAT, NK;482;74175;0,09;15;0,03
Sdružení Patrioti ČR, NK;524;46640;0,05;15;0,03
Česká strana národně sociální;2;11885;0,01;15;0,03
VOLBA PRO KLADNO;727;222609;0,26;14;0,02
Strakonická Veřejnost;742;89955;0,10;14;0,02
Sdružení MHNHRM, NK;456;57666;0,07;14;0,02
Koalice STAN, TOP 09;659;51721;0,06;14;0,02
Starostové a osobnosti pro Moravu;158;10861;0,01;14;0,02
Naše Město F-M;799;169119;0,19;13;0,02
Sdružení ZVUK 12, NK;511;50406;0,06;13;0,02
Sdružení Hlas, NK;1542;13756;0,02;13;0,02
ZVUK 12;775;7955;0,01;13;0,02
Koalice KDU-ČSL, SLK a TOP 09;1485;322171;0,37;12;0,02
Sdružení Moravané, NK;464;22498;0,03;12;0,02
MĚSTO LIDEM;147;8801;0,01;12;0,02
Sdružení JAB, NK;1494;3914;0,00;12;0,02
Sdružení PRAHA SOBĚ, NK;1373;3472648;3,99;11;0,02
Koalice VpMB a ANO 2011;1071;101679;0,12;11;0,02
